  date	amount
1/21/21	340
1/21/21	1
1/21/21	490
1/21/21	490
1/21/21	99.19
1/21/21	4.09
1/21/21	2
1/21/21	2
1/21/21	2
1/21/21	1
1/21/21	45.8
1/21/21	2
1/21/21	2
1/21/21	44.44
1/21/21	44
1/21/21	43
1/21/21	100.72
1/21/21	99
1/21/21	99
1/21/21	79.56
1/21/21	79.56
1/22/21	20.14
1/22/21	20
1/22/21	20
1/22/21	28
1/22/21	30
1/22/21	20.34
1/22/21	20
1/22/21	20
1/22/21	500
1/22/21	430
1/22/21	430
1/22/21	65
1/22/21	65
1/22/21	1
1/22/21	1
1/22/21	10
1/22/21	10
1/22/21	1.01
1/22/21	1
1/22/21	1
1/22/21	29.67
1/22/21	30
1/22/21	38
1/22/21	38
1/22/21	10
1/22/21	10
1/22/21	10
1/23/21	6.04
1/23/21	6
1/23/21	6
1/23/21	479
1/23/21	479.75
1/23/21	475
1/23/21	2.02
1/23/21	2
1/23/21	460
1/23/21	10
1/23/21	5.05
1/23/21	5
1/23/21	5
1/23/21	5
1/23/21	26.26
1/23/21	26
1/23/21	25
1/23/21	25
1/23/21	24
1/23/21	24
1/23/21	9.27
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	1
1/23/21	12.13
1/23/21	12.11
1/23/21	12.11
1/23/21	4
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	2
1/23/21	12
1/23/21	2
1/23/21	29.68
1/23/21	10
1/23/21	18
1/23/21	1
1/23/21	10
1/23/21	17.71
1/23/21	18
1/23/21	20
1/23/21	19.5
1/23/21	19.5
1/23/21	7.8
1/23/21	7.72
1/23/21	7.6
1/24/21	9
1/24/21	9
1/24/21	21
1/24/21	20
1/24/21	20
1/24/21	171.54
1/24/21	170.69
1/24/21	169
1/24/21	166.47
1/24/21	3
1/24/21	3
1/25/21	1
1/25/21	6
1/25/21	5
1/25/21	5
1/25/21	24.24
1/25/21	24
1/25/21	20.2
1/25/21	20
1/25/21	24
1/25/21	24
1/25/21	24
1/25/21	30.21
1/25/21	30
1/25/21	30
1/25/21	20
1/25/21	15
1/25/21	15
1/25/21	31.31
1/25/21	31
1/25/21	31
1/25/21	20.2
1/25/21	20
1/25/21	15
1/25/21	10
1/25/21	1
